Time,Sound 1,Sound 1 Level,Distance Right,Distance Left,User Position,Position Back,N Mov Back,N Back total,N Back pos,Position Front,N Mov Front,N Front total,N Front pos
16:51:42,6,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:42,6,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:43,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:43,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:43,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:44,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:44,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:44,10,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:45,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:45,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:45,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:46,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:46,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:46,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:47,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:47,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:47,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:48,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:48,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:48,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:49,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:49,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:49,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:50,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:50,6,Quiet,31,8191,Left,LOW,0,1,1,Up,0,0,0
16:51:50,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:51,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:51:51,6,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:51:51,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
